Gene	Simulated_P_values
HTR1B	1.52E-06
NTRK1	0.000153589
IL15RA	0.000229623
NSUN2	0.000305657
RRAGA	0.000381691
SCRN1	0.000457725
USP18	0.000457725
ARHGEF19	0.000609793
VAX2	0.000685827
GABRP	0.000761861
ROR2	0.000764903
TOP1MT	0.000889599
ZFPM1	0.000913929
C1orf92	0.000989964
POLA2	0.001066
SLC26A11	0.00114203
PGLYRP1	0.00121959
FCGR2B	0.00129714
BST1	0.00137013
ST6GALNAC1	0.0015222
HAND2	0.0015222
ZFAND1	0.00159824
YIPF1	0.00167579
MMP26	0.0017503
PPIL1	0.00182634
HIST1H4A	0.00197841
RAPSN	0.00205444
TSEN34	0.00205444
KCNE1	0.002132
CHCHD6	0.00220803
PSMB6	0.00228406
TXLNB	0.00228558
TLR2	0.00251064
HIST1H1D	0.00251217
ZNF195	0.00258668
CNGA1	0.00266271
SMAP1	0.00281478
FOXD2	0.00296685
DEFB1	0.00296685
HIST1H2BB	0.00304288
HSF2BP	0.00311892
STAM	0.00311892
PGLYRP3	0.00319647
SH3BGRL3	0.00327099
LHB	0.00342305
SLC29A3	0.00349909
PTTG2	0.00357512
PCGF6	0.00365116
PSMC6	0.00372719
IFNA14	0.00372719
HIST1H2AE	0.00380322
C6orf27	0.00395529
CEACAM5	0.00403133
ZPBP2	0.00403437
MSI1	0.00410888
SAT2	0.00418339
MNDA	0.00425943
LMTK3	0.0043385
HDHD2	0.0044115
ACOT12	0.00456356
DPY19L3	0.00456356
FUCA2	0.00464112
LZTR1	0.00471867
LSM7	0.00471867
GML	0.0048677
SFMBT2	0.00501977
DENND1C	0.00502129
LCN12	0.0050958
XKR4	0.00517184
CALML5	0.00524787
VPS26B	0.00532391
ASB5	0.00539994
TGM1	0.00555201
SLK	0.00555201
ZNF611	0.00563108
HUNK	0.00578011
FADD	0.00585614
GLTSCR1	0.00593218
PNRC1	0.00593218
WFDC12	0.00608425
SNAPC1	0.00608425
LRRC19	0.00623631
IL1F6	0.00631235
C12orf11	0.00638686
TUBG1	0.00646442
SLC9A6	0.00654045
PSRC1	0.00661648
OTC	0.00669252
RDH8	0.00676855
PENK	0.00676855
GYLTL1B	0.00692062
TCEB3C	0.00699665
ZNF695	0.0069997
SMARCAL1	0.00707269
LGALS13	0.00722476
ATG4A	0.00730079
MCM5	0.00737682
WTIP	0.00745286
MRGPRX4	0.00752889
FREM2	0.00760493
ZDHHC15	0.00768096
TRHR	0.00768248
P2RY1	0.00783303
SUMO1	0.00783303
FZD2	0.00798358
SCML2	0.00806113
NUDCD2	0.00813564
C1orf182	0.0082132
RGS14	0.00828923
DPP10	0.00836527
SLC25A19	0.0084413
FAM47A	0.0084413
MPHOSPH10	0.00859337
H2AFB3	0.0086694
NRM	0.0086694
GALP	0.00882147
ANKRD32	0.00883364
HTN3	0.00897354
DAND5	0.00897506
AKAP2	0.00912561
IL22RA2	0.00920164
OR5P2	0.00920164
CYP11A1	0.00935371
MRGPRX3	0.00942974
LPO	0.00943279
MRPS35	0.00958181
DUSP23	0.00958333
PREB	0.00973388
COL15A1	0.00980991
ADAMTSL2	0.00988595
ANKRD36	0.00996198
GABARAP	0.010038
TMEM63C	0.0101141
MFAP2	0.0101901
CNTF	0.0101901
PDE11A	0.0103422
PTPRT	0.0104182
KDELC1	0.0104182
LY6G6C	0.0105703
FCRL3	0.0106463
ANKRD39	0.0106463
TOMM40	0.0107223
IQCD	0.0108744
GTF2H3	0.0109504
ZNF687	0.0110265
UPK3B	0.0111025
HDAC10	0.011104
INSM1	0.0111785
PCSK1	0.0113291
RGL1	0.0114066
USP43	0.0114827
SSTR4	0.0114827
TRIM22	0.0115602
AATK	0.0117108
PYY2	0.0117868
RASD1	0.0118628
C7orf27	0.0118628
C6orf204	0.0119389
CNKSR1	0.0120909
CTSO	0.012167
NCKAP1L	0.012243
RAB13	0.0122993
NOXA1	0.0123206
CCL26	0.0124711
FUT5	0.0125471
LCN2	0.0125471
ACBD4	0.0126232
COX7B2	0.0127752
TEX13B	0.0128513
C3orf22	0.0129273
OR8D1	0.0130018
TNFSF13B	0.0130794
GEM	0.0131554
CHCHD1	0.0132314
DUSP2	0.0132771
C9orf62	0.0133835
KCNJ9	0.0134595
LRRC4B	0.0134595
SLC25A31	0.0136116
BTBD1	0.0136877
PDYN	0.0137637
PTCH2	0.0137637
CHAD	0.0139158
CTSW	0.0139158
WIF1	0.0139918
PRH1	0.0140678
PRH2	0.0140678
DCUN1D3	0.0142959
UNC5CL	0.0142959
C7orf31	0.014448
PSD2	0.014448
FOXF1	0.0145255
DDX4	0.0146761
DEFA4	0.0146791
MAGEH1	0.0148282
GALR2	0.0149042
MTIF2	0.0149802
LHFPL5	0.0149818
TCF15	0.0150563
SUCLA2	0.0151323
C1orf170	0.0152083
CD19	0.0153558
UBTD1	0.0154364
DSCR8	0.015438
ABCB10	0.0155125
SLC10A1	0.0155885
ZBTB39	0.0156645
RBP3	0.0157421
SLC6A4	0.0158926
SLC35B2	0.0159687
FAM18B2	0.0159687
SCGB1A1	0.0161207
EMX2	0.0161223
NTS	0.0162728
EID3	0.0163488
FTHL17	0.0163488
NIF3L1	0.0165009
FAM5C	0.016504
PRSS8	0.0165769
PRDM7	0.016729
ANGPT4	0.016729
ZFP2	0.0168811
C20orf46	0.0169571
MARCKSL1	0.0170332
C4BPA	0.0170347
CAPSL	0.0171107
HIST1H1C	0.0172613
COX7A1	0.0172613
ATP6V1G3	0.0173373
GPR158	0.0174133
LDHAL6B	0.0174909
STK11IP	0.0175654
PUSL1	0.0177175
OR51B4	0.017722
SIL1	0.017795
COL17A1	0.0178695
MTMR8	0.0179456
CNTN6	0.0180231
IL17C	0.0181737
CCT7	0.0181752
TTR	0.0183257
ADIPOQ	0.0184018
C1QA	0.0184018
TAF4B	0.0184778
PLDN	0.0186299
BCKDK	0.0187059
MALL	0.0187835
FGF17	0.0187835
RPL41	0.0188595
CYP24A1	0.01901
PPIH	0.01901
DNAH12	0.0190861
OBFC1	0.0191651
OR7A5	0.0192381
C1orf110	0.0193142
IFNA7	0.0194404
