Gene	Simulated_P_values 
GSDML	0.000143352
PAN3	0.000143352
PSMC2	0.000222117
FUBP3	0.000379647
SCML2	0.000458412
CIR	0.000537177
PREP	0.000615942
CCL3L3	0.000694707
WNT2	0.000696282
FKBP2	0.000852237
IMPACT	0.000852237
RECQL4	0.00100977
TRIM39	0.00108853
LBR	0.0011673
GPR173	0.00124606
SEC22A	0.00132483
HNRPR	0.00140359
SCYL2	0.00140359
FBXL10	0.00148393
TMSB10	0.00163989
COX18	0.00171865
ESRRAP2	0.00179742
STAU1	0.00187618
CCHCR1	0.00195337
RABGGTB	0.00203371
ZNF434	0.00203371
STT3A	0.00219124
KLF8	0.00227001
DNAJC10	0.00234877
ADAM17	0.00242754
SLC25A20	0.0025063
ATMIN	0.00258507
DYNLT3	0.00266383
CCT4	0.0027426
IRS2	0.0027426
PIGC	0.00290013
DDI2	0.00290013
GPC4	0.00297889
BCL2A1	0.00313642
ATP6V0E1	0.00321519
FREM2	0.00329395
HNRNPU	0.00337272
GPR26	0.00337272
KEAP1	0.00345306
KARS	0.00353182
PDPK1	0.00360901
MAOA	0.00368935
PTPN2	0.00384531
ZNF701	0.00384531
NFIL3	0.00392407
SAC	0.00400284
PRY2	0.0040816
CCDC128	0.00416037
VIT	0.0043179
LHFPL4	0.0043179
GABPA	0.00447543
GJB3	0.00447858
CHM	0.00463296
CHCHD3	0.00463453
SHC3	0.00479049
CCDC76	0.00479049
HERPUD1	0.00494802
GABARAP	0.00494802
EFR3A	0.00502678
HSFX1	0.00510555
STRA13	0.00518431
ATF7IP2	0.00531821
PRMT1	0.00534342
TMED2	0.00549937
MLL5	0.00557971
CCDC97	0.00557971
FOXP1	0.00573724
UQCRFS1	0.00581601
DHFRL1	0.00589635
MATR3	0.00597511
ZNF655	0.00605388
CCDC89	0.00605388
NCAPG	0.00621141
TALDO1	0.00621141
DNAJC1	0.00629175
ATG3	0.00637209
DAPK2	0.00644928
UBB	0.00652804
GZMK	0.00660681
GRSF1	0.00675488
ACTR6	0.00676434
ASTN2	0.00684152
NUDT21	0.00692029
TCHP	0.00707782
DPM2	0.00707782
OXGR1	0.00723535
CFI	0.00723535
GNG3	0.00739288
TESK1	0.00739288
SCLY	0.00747322
OGFR	0.00762917
RBM42	0.00770794
FAM113B	0.00770794
NDUFA4	0.0077867
CABIN1	0.00786704
ONECUT2	0.00794423
SMARCAD1	0.00802457
PLEKHM1	0.00810491
GOLGA2	0.0081821
GJC3	0.00825929
JOSD1	0.00833806
DGAT1	0.00841682
DPPA2	0.00857278
COPG	0.00863106
ATP6V1B1	0.00865312
PHF20L1	0.00873188
MAGEH1	0.00881065
SMARCA5	0.00889099
PDE2A	0.00897448
OR2AG2	0.00905009
TBC1D14	0.00912728
SNX14	0.00920762
RAG1AP1	0.00928639
CHKA	0.00936358
FAM122B	0.00944234
SCPEP1	0.00952583
NRAS	0.00968021
FAM152B	0.00968021
TMEM135	0.00983774
CNIH2	0.00991651
CAPN13	0.00991651
SNTB1	0.00999842
ZNF446	0.0100756
STXBP3	0.0101528
PRPS1	0.0102316
KCNIP2	0.0103796
CENTA2	0.0104679
PTMS	0.0105466
MTDH	0.0105466
PRPSAP1	0.0106285
HOXB1	0.0107829
DHX29	0.0107829
UNC5CL	0.0108648
SLC25A42	0.010942
EWSR1	0.0110224
HIST1H3J	0.0110224
EIF4EBP1	0.0111783
PIN1	0.0112571
LOXL3	0.0113359
ACY1	0.0114146
MSI1	0.0115706
RPUSD1	0.0115721
FTHL11	0.0116493
MTCP1	0.0117281
ADAM10	0.0118084
GOLT1B	0.0118856
TMEM49	0.0119644
CCL3L1	0.0120432
USP3	0.0121219
SFRS2B	0.0122779
C3	0.0123598
FEN1	0.0123629
JARID1D	0.0125158
B3GAT3	0.0125173
LCA5	0.0126733
FDX1L	0.0126749
HADHB	0.0127552
PPTC7	0.0128324
ENO1	0.0129112
PTP4A1	0.0130655
U2AF1L2	0.0131474
SEC61B	0.013149
SCYL3	0.0132278
MRPL22	0.0133066
POGK	0.0133837
MAZ	0.0134625
ZNF98	0.0135428
GAPDH	0.01362
ANXA9	0.0137776
PMVK	0.0137776
NDUFV2	0.0138595
SCUBE2	0.0140139
ZNF17	0.0140154
PBX2	0.0140926
ADIG	0.0141714
CRX	0.0142517
ZNF384	0.0143305
RBM11	0.0144628
PDE6D	0.014488
PTP4A2	0.0145684
DKFZP667M2411	0.0146487
CCDC106	0.0147275
SEMA3F	0.0148047
PCM1	0.014885
DENND1C	0.0149638
SLC19A1	0.0149685
FNBP4	0.0151197
SPCS2	0.0152001
BOLA2	0.015356
REXO1	0.0153592
CCNT1	0.0155135
FBXW2	0.0155135
FMNL3	0.0156695
PPP4R1	0.0156711
EP400	0.0157498
FDXR	0.0158318
BRD9	0.0159105
CEPT1	0.0159861
RGS13	0.0161437
KDR	0.0162224
RHOT1	0.0163012
DRG2	0.0163012
DAZAP2	0.0164603
MARCKSL1	0.0164603
EIF2C3	0.0166178
GPR82	0.0166178
XPO1	0.0166966
SBNO2	0.0168541
KPNA3	0.0168541
TMPRSS7	0.0170117
MAD2L1	0.0170117
CD70	0.0170904
ADAT3	0.0172495
HPCAL4	0.0173283
TSSK6	0.0174071
TMEM126A	0.0174086
CCDC8	0.0174874
APOOL	0.0174874
WDR68	0.0175662
MS4A7	0.0176465
RIT1	0.0178025
LRRC40	0.01796
ASXL1	0.0180388
PTPN11	0.0180419
ATP6V0A2	0.0181207
WHSC1L1	0.0181979
CDC42BPA	0.0183475
CKAP4	0.018431
MYEF2	0.0185113
SNORA64	0.0185145
RPS6KA5	0.0186689
HMOX1	0.0187476
SLC4A5	0.0187476
TMEM170	0.018839
IL17RA	0.0189839
RAB5A	0.0189839
REN	0.0190706
MPND	0.019143
CDK5	0.0192218
INTS9	0.0193021
PPARBP	0.0193778
RB1	0.0194612
GPR101	0.0196141
ARS2	0.0196172
ACSL4	0.0196928
ZNF789	0.0197732
SBF2	0.0198503
ZNF282	0.0199291
PCID2	0.0200362
CYP2R1	0.0200866
SHH	0.020167
DVL2	0.0203229
SLC27A1	0.0203245
CHCHD1	0.0204033
HIST2H2AA3	0.0204805
KATNB1	0.0205592
ARMCX6	0.020638
ZNF7	0.0207735
CHD4	0.0208743
ATP1B2	0.0208774
FAM126B	0.0209531
MAP3K1	0.0210334
HNRNPUL2	0.0211137
TNRC6B	0.0212697
CD97	0.0213485
AVPR1B	0.0213548
SPC24	0.0214272
SRP14	0.021506
MOCS1	0.0215848
HHLA3	0.0216651
RB1CC1	0.0217423
SF3A3	0.0218289
ETF1	0.0219786
KLHDC8A	0.0220573
CIDECP	0.0221361
ELMOD2	0.0221377
SULT1A3	0.0222149
CCDC63	0.0222936
TCERG1	0.022374
GALNT6	0.0224512
SQSTM1	0.0225299
PHB	0.0226875
PWWP2	0.0227662
TXNDC15	0.0227662
TUBG1	0.022845
SCAMP3	0.0230025
B4GALT3	0.0230041
EMG1	0.0230813
AIG1	0.0231632
GPAM	0.0232388
NBPF10	0.0233333
CT47.7	0.0233995
SLC25A3	0.0234783
PECAM1	0.0235539
CSGLCA-T	0.0236326
UBE2W	0.0237114
SYF2	0.0237917
RIC8A	0.0238721
UBQLN2	0.0238737
RAB4B	0.024028
CHD7	0.0241084
LRDD	0.0241871
DYNC1LI2	0.0241871
POU3F4	0.0242706
PTPRH	0.0244234
LDHA	0.024425
SCHIP1	0.0245747
PMPCB	0.0245825
P4HA1	0.0245825
PF4	0.0246613
DLGAP4	0.0248945
PLEKHO2	0.0249748
ACTR10	0.0250551
JARID2	0.025189
EFHA1	0.0252883
REEP4	0.025367
FCGR2C	0.0254458
MRGPRF	0.0254474
LHX6	0.0255246
OR8G2	0.0256049
VPS13B	0.0257609
HINT3	0.0257609
INSL3	0.0257624
CCDC132	0.0258396
NFE2	0.02592
PDE7B	0.0260807
CYBA	0.0262335
SFRS1	0.0262335
RNF38	0.0263122
TUT1	0.0263122
TTC31	0.0264698
CASZ1	0.0264698
PIK3CA	0.0265485
KRTAP10-8	0.0266304
PITPNM2	0.0267864
AK3	0.0268604
C5AR1	0.0270164
PTS	0.0270164
ZNF3	0.0271723
CCDC126	0.0271723
ARHGEF11	0.0272511
HLA-DRA	0.0273299
LPIN3	0.0274118
IGF2R	0.0275189
LONRF1	0.0275662
GPR97	0.0277237
ARMCX5	0.0277237
SSR4	0.0278056
FBXO4	0.0278859
SF3B2	0.0279647
PPIE	0.0281207
ZP1	0.0281222
ACMSD	0.0281963
CFL1	0.028275
RPL22	0.0283538
APOBEC3B	0.0284342
DIAPH1	0.0285129
PCNP	0.0285901
UFC1	0.0286689
RPS19	0.0287476
KIF3B	0.0288264
PABPC4	0.0289099
MDC1	0.0289855
PPP1R2	0.0289871
THAP7	0.029143
DPH4	0.0292218
CBX5	0.0293006
ARRB2	0.0294565
MAN2A2	0.0294597
USP13	0.0295384
CMTM7	0.0296156
DOLPP1	0.029696
NUP155	0.0298519
TNFRSF14	0.0298535
MIB2	0.0299323
SIPA1	0.0300126
MTM1	0.0300882
PI4K2B	0.030167
OBFC2B	0.0302457
FATE1	0.0303261
SEMG1	0.0304789
SEMA6B	0.030482
PYCARD	0.0305608
TULP3	0.0306411
SLC35B2	0.0307199
SH3BGRL	0.0308003
P2RY13	0.0308774
CFB	0.0309562
GNAI2	0.0310365
RPL7	0.0311909
UCHL5IP	0.0311925
PPP2R2D	0.0312713
CHIC2	0.0313485
LIMK2	0.0314288
PIM2	0.031506
HIST1H2AG	0.0315863
ZNF654	0.0316635
TCOF1	0.0317439
ELAC1	0.0318557
RN7SL1	0.0319754
GFI1	0.0319802
MGA	0.0320589
LRRC58	0.0321361
EIF3M	0.0322149
SLC30A9	0.0322936
RHOBTB1	0.0324512
UCK2	0.0324527
PAIP2	0.0325315
MTPN	0.032689
ABR	0.0326906
KPNB1	0.0327741
OCLM	0.0328481
PPP2R1A	0.0329285
TRY6	0.0330718
PIGH	0.0331616
PPP1CA	0.0331616
RNF181	0.0333192
TUBGCP6	0.0333223
TIMP1	0.0333979
MATN2	0.0334783
RNF4	0.0335586
TFE3	0.0336358
FARSLB	0.033713
MID2	0.0337917
SAT1	0.0338705
MRPS18A	0.0339493
SNORD31	0.0341068
NFKBIB	0.0341084
EHMT1	0.0341856
CLUL1	0.0343431
SESN1	0.0343447
TXNDC2	0.0345006
PEX5	0.0345006
SNAP23	0.0345006
KBTBD8	0.0346582
CDC40	0.0347369
INPP4A	0.0348188
EREG	0.0348976
PAK1	0.0350299
WDR26	0.0350536
MAN1A1	0.0352111
ANGPTL2	0.0352127
VTI1B	0.0352914
ANKRD36B	0.0353702
